text,font_size,bold,italic,x0,y0,x1,y1,page
Welcome to Smallpdf,22.0,1,0,195.9011993408203,30.852243423461914,400.61114501953125,58.50624465942383,0
Digital Documents—All In One Place,14.0,1,0,289.1842041015625,133.95263671875,508.32342529296875,151.55064392089844,0
"Access Files Anytime, Anywhere",14.0,1,0,289.1842041015625,480.0326232910156,487.12744140625,497.630615234375,0
Enhance Documents in One Click,14.0,1,0,47.61421203613281,317.9546203613281,250.8367919921875,335.5526123046875,0
Collaborate With Others,14.0,1,0,53.62021255493164,673.6386108398438,204.23081970214844,691.2366333007812,0
"With the new Smallpdf experience, you can",14.0,0,0,289.1842041015625,158.046630859375,542.369873046875,175.64463806152344,0
"freely upload, organize, and share digital",14.0,0,0,289.1842041015625,178.0526123046875,528.43994140625,195.65061950683594,0
documents. When you enable the,14.0,0,0,289.1842041015625,198.05859375,486.80670166015625,215.65660095214844,0
‘Storage’,14.0,0,0,486.80670166015625,198.05859375,540.8886108398438,215.65660095214844,0
option,14.0,0,0,289.1842041015625,218.0645751953125,327.7261962890625,235.66258239746094,0
", we’ll also store all processed files here.",14.0,0,0,327.7261962890625,218.0645751953125,562.10986328125,235.66258239746094,0
You can access files stored on Smallpdf from,14.0,0,0,289.1842041015625,504.14056396484375,549.2032470703125,521.7385864257812,0
"your computer, phone, or tablet. We’ll also",14.0,0,0,289.1842041015625,524.1466064453125,538.9693603515625,541.74462890625,0
sync files from the,14.0,0,0,289.1842041015625,544.152587890625,398.2847595214844,561.7506103515625,0
Smallpdf Mobile App,14.0,0,0,398.2847595214844,544.152587890625,519.4127807617188,561.7506103515625,0
to our,14.0,0,0,519.4127807617188,544.152587890625,559.998779296875,561.7506103515625,0
online portal,14.0,0,0,289.1842041015625,564.1585693359375,364.1247863769531,581.756591796875,0
"When you right-click on a file, we’ll present",14.0,0,0,47.61421203613281,342.07659912109375,299.4700622558594,359.6745910644531,0
"you with an array of options to convert,",14.0,0,0,47.61421203613281,362.0826110839844,278.4293518066406,379.68060302734375,0
"compress, or modify it.",14.0,0,0,47.61421203613281,382.088623046875,183.9853973388672,399.6866149902344,0
Forget mundane administrative tasks. With,14.0,0,0,53.62021255493164,697.774658203125,306.0653991699219,715.3726806640625,0
"Smallpdf, you can request e-signatures, send",14.0,0,0,53.62021255493164,717.7806396484375,316.9853515625,735.378662109375,0
"large files, or even enable the",14.0,0,0,53.62021255493164,737.78662109375,226.9668426513672,755.3846435546875,0
Smallpdf G Suite,14.0,0,0,226.9668426513672,737.78662109375,326.9254150390625,755.3846435546875,0
App,14.0,0,0,53.62021255493164,757.7926025390625,76.77620697021484,775.390625,0
for your entire organization.,14.0,0,0,76.77620697021484,757.7926025390625,244.84339904785156,775.390625,0
