text,font_size,bold,italic,x0,y0,x1,y1,page
Unpublished working draft.,35.9991455078125,0,0,128.95187377929688,215.0328369140625,451.520751953125,537.6016845703125,0
Not for distribution.,35.9991455078125,0,0,198.72470092773438,284.80560302734375,442.840576171875,528.9214477539062,0
Prediction,17.21540069580078,0,0,265.260009765625,98.48965454101562,346.74053955078125,120.69752502441406,0
Yutao Jin,11.9552001953125,0,0,119.885009765625,122.49241638183594,164.46595764160156,139.01449584960938,0
jinyutao@my.swjtu.edu.cn,9.962599754333496,0,0,87.92301177978516,136.68910217285156,196.7743682861328,150.45742797851562,0
Southwest Jiaotong University,9.962599754333496,0,0,80.43101501464844,148.6441192626953,204.52513122558594,162.41244506835938,0
"Chengdu Shi, China",9.962599754333496,0,0,101.61201477050781,160.59913635253906,183.0861358642578,174.36746215820312,0
Haowen xiao,11.9552001953125,0,0,274.31500244140625,122.49247741699219,338.68182373046875,139.01455688476562,0
xhaowen@my.swjtu.edu.cn,9.962599754333496,0,0,250.447998046875,136.6891632080078,362.3080139160156,150.45748901367188,0
Southwest Jiaotong University,9.962599754333496,0,0,244.5800018310547,148.64418029785156,368.6741027832031,162.41250610351562,0
"Chengdu Shi, China",9.962599754333496,0,0,265.760986328125,160.5991973876953,347.23516845703125,174.36752319335938,0
Jielei Chu,11.9552001953125,0,0,444.9749755859375,122.49253845214844,492.64031982421875,139.01461791992188,0
∗,8.76710033416748,0,0,492.6409912109375,121.73912048339844,495.6305847167969,133.85525512695312,0
jieleichu@swjtu.edu.cn,9.962599754333496,0,0,423.2200012207031,136.6891632080078,518.0739135742188,150.45748901367188,0
Southwest Jiaotong University,9.962599754333496,0,0,408.7300109863281,148.64418029785156,532.82421875,162.41250610351562,0
"Chengdu Shi, China",9.962599754333496,0,0,429.9100036621094,160.5991973876953,511.3841857910156,174.36752319335938,0
Fengmao Lv,11.9552001953125,0,0,112.11199951171875,180.5065155029297,171.8880157470703,197.02859497070312,0
fengmaolv@swjtu.edu.cn,9.962599754333496,0,0,90.22900390625,194.7032012939453,193.47142028808594,208.47152709960938,0
Southwest Jiaotong University,9.962599754333496,0,0,79.9330062866211,206.65919494628906,204.02711486816406,220.42752075195312,0
"Chengdu Shi, China",9.962599754333496,0,0,101.11300659179688,218.6142120361328,182.58712768554688,232.38253784179688,0
Yuxiao Li,11.9552001953125,0,0,282.885009765625,180.5065155029297,328.76910400390625,197.02859497070312,0
wchyuxiaoli@outlook.com,9.962599754333496,0,0,251.0860137939453,194.7032012939453,360.5451354980469,208.47152709960938,0
Sichuan University,9.962599754333496,0,0,267.39501953125,206.65919494628906,344.8641662597656,220.42752075195312,0
"Chengdu Shi, China",9.962599754333496,0,0,265.2630310058594,218.6142120361328,346.7372131347656,232.38253784179688,0
Tianrui Li,11.9552001953125,0,0,445.52203369140625,180.5065155029297,494.4188232421875,197.02859497070312,0
trli@swjtu.edu.cn,9.962599754333496,0,0,433.9100341796875,194.7032012939453,506.3879699707031,208.47152709960938,0
Southwest Jiaotong University,9.962599754333496,0,0,408.2320251464844,206.65919494628906,532.3262329101562,220.42752075195312,0
"Chengdu Shi, China",9.962599754333496,0,0,429.4120178222656,218.6142120361328,510.8861999511719,232.38253784179688,0
Abstract,10.909099578857422,0,0,53.798004150390625,238.74530029296875,95.41622161865234,253.38531494140625,0
nosis.,8.966400146484375,0,0,53.79800033569336,516.4318237304688,74.57315063476562,528.8234252929688,0
CCS Concepts,10.909099578857422,0,0,53.79800033569336,537.1251831054688,123.07078552246094,551.7651977539062,0
•,8.966400146484375,0,0,53.79800033569336,551.7987670898438,56.94520568847656,564.1903686523438,0
Computing methodologies,8.966400146484375,0,0,56.94520568847656,552.7940673828125,167.5369873046875,564.8269653320312,0
→,8.966400146484375,0,0,167.5369873046875,554.3721313476562,178.9595947265625,570.3502807617188,0
Computer vision tasks,8.966400146484375,0,0,178.9595947265625,552.7940673828125,272.7838134765625,564.8269653320312,0
.,8.966400146484375,0,0,272.78399658203125,551.7987670898438,274.756591796875,564.1903686523438,0
Keywords,10.909099578857422,0,0,53.798004150390625,572.4921875,102.8780517578125,587.1322021484375,0
Language Model,8.966400146484375,0,0,53.79800033569336,598.1248168945312,114.58122253417969,610.5164184570312,0
Unpublished working draft. Not for distribution.,9.962599754333496,0,0,53.79800033569336,621.9339599609375,273.4234924316406,635.3037719726562,0
"ACM MM, 2025, Dublin, Ireland",6.973800182342529,0,0,53.79800033569336,676.4124145507812,141.73060607910156,684.8158569335938,0
ACM ISBN 978-x-xxxx-xxxx-x/YYYY/MM,6.973800182342529,0,0,53.55400085449219,691.531494140625,172.93150329589844,701.1692504882812,0
https://doi.org/XXXXXXX.XXXXXXX,6.973800182342529,0,0,53.79800033569336,699.50146484375,162.7357177734375,709.1392211914062,0
1,10.909099578857422,0,0,317.95501708984375,238.74517822265625,323.5622863769531,253.38519287109375,0
Introduction,10.909099578857422,0,0,334.47137451171875,238.74517822265625,397.536865234375,253.38519287109375,0
major focus for clinical research.,8.966400146484375,0,0,317.9549865722656,363.0068054199219,437.4862365722656,375.3983459472656,0
of AD treatment.,8.966400146484375,0,0,317.9549865722656,636.9797973632812,380.0473937988281,649.3713989257812,0
2025-07-21 01:01. Page 1 of 1–9.,6.973800182342529,0,0,53.79800033569336,711.4574584960938,143.94139099121094,721.09521484375,0
arXiv:2507.13956v1  [cs.AI]  18 Jul 2025,20.0,0,0,10.940000534057617,228.239990234375,37.619998931884766,563.760009765625,0
Unpublished working draft.,35.9991455078125,0,0,128.95187377929688,215.0328369140625,451.520751953125,537.6016845703125,1
Not for distribution.,35.9991455078125,0,0,198.72470092773438,284.80560302734375,442.840576171875,528.9214477539062,1
"ACM MM, 2025, October 27-31, 2025, Dublin, Ireland",6.973800182342529,0,0,53.582000732421875,61.119380950927734,205.0738983154297,69.2159652709961,1
Trovato et al.,6.973800182342529,0,0,520.6199951171875,61.119380950927734,558.2017822265625,69.2159652709961,1
limited diagnostic accuracy. 3D-CNN[,8.903413772583008,0,0,53.79800033569336,94.52076721191406,190.8137969970703,106.91233825683594,1
17,8.966400146484375,0,0,190.8090057373047,94.52076721191406,199.1477508544922,106.91233825683594,1
] propose to automatically,8.903413772583008,0,0,199.1479949951172,94.52076721191406,294.2757568359375,106.91233825683594,1
subtype-specific annotations.,8.966400146484375,0,0,53.79800033569336,193.15077209472656,160.71336364746094,205.54234313964844,1
data. NeuroSymAD[,8.876283645629883,0,0,53.79800033569336,247.9447784423828,126.70435333251953,260.3363342285156,1
8,8.966400146484375,0,0,126.7040023803711,247.9447784423828,130.87338256835938,260.3363342285156,1
] proposes to mimic the multi-modal diagnos-,8.876283645629883,0,0,130.87399291992188,247.9447784423828,295.5613098144531,260.3363342285156,1
interpretability.,8.966400146484375,0,0,53.79800033569336,302.73980712890625,110.66291809082031,315.13134765625,1
mitigate the effects of irrelevant confounders.,8.966400146484375,0,0,53.79800033569336,412.32879638671875,220.7165069580078,424.7203369140625,1
come.,8.966400146484375,0,0,53.79800033569336,609.5888061523438,75.12907409667969,621.9804077148438,1
